"NS.01.FFPE","NS.02.FFPE","NS.03.FFPE","NS.04.FFPE","NS.05.FFPE","NS.06.FFPE","NS.07.FFPE","NS.08.FFPE","NS.09.FFPE","NS.10.FFPE","NS.11.FFPE","NS.12.FFPE","NS.13.FFPE","NS.14.FFPE","NS.15.FFPE","NS.16.FFPE","NS.17.FFPE","NS.18.FFPE","NS.19.FFPE","NS.20.FFPE","NS.21.FFPE","NS.22.FFPE","NS.23.FFPE","NS.24.FFPE","NS.27.FFPE","NS.28.FFPE","NS.29.FFPE","NS.30.FFPE"
18,18,10,16,9,8,10,14,18,15,8,5,10,8,9,19,11,27,15,16,17,10,16,18,15,21,25,19
2,4,5,7,3,4,4,5,5,4,5,3,1,2,3,8,12,8,9,6,5,2,11,4,5,5,6,5
4,5,4,4,3,2,3,11,3,2,5,2,6,4,3,2,5,2,3,4,2,3,7,7,2,1,4,1
10,9,6,15,5,8,4,10,13,14,4,4,3,3,3,5,5,8,7,5,12,7,12,8,3,5,8,5
8,10,16,11,9,23,14,12,20,19,10,16,12,6,15,14,12,18,12,12,14,7,12,15,15,13,18,15
4,6,9,5,7,8,7,9,3,5,2,13,6,3,5,10,11,17,11,5,9,3,9,10,6,12,13,7
4,2,3,5,4,1,4,4,1,2,1,0,1,2,3,0,0,0,0,0,1,1,1,0,2,0,2,4
2,3,2,2,3,1,0,1,6,4,0,3,1,1,3,0,1,1,5,5,2,0,2,3,3,0,1,2
