"NS.01.FFPE","NS.02.FFPE","NS.03.FFPE","NS.04.FFPE","NS.05.FFPE","NS.06.FFPE","NS.07.FFPE","NS.08.FFPE","NS.09.FFPE","NS.10.FFPE","NS.11.FFPE","NS.12.FFPE","NS.13.FFPE","NS.14.FFPE","NS.15.FFPE","NS.16.FFPE","NS.17.FFPE","NS.18.FFPE","NS.19.FFPE","NS.20.FFPE","NS.21.FFPE","NS.22.FFPE","NS.23.FFPE","NS.24.FFPE","NS.27.FFPE","NS.28.FFPE","NS.29.FFPE","NS.30.FFPE"
1413,1146,1414,5307,702,1533,1086,1835,2059,1359,757,954,561,86,1234,395,1608,2493,952,1120,4909,1630,1475,2229,162,51,1821,627
663,184,623,578,447,184,542,1508,1226,953,246,69,29,30,125,222,527,558,677,1034,2012,1470,965,85,43,6,1017,118
299,173,604,323,367,117,707,929,471,740,251,50,97,54,136,406,473,444,770,1643,1240,1022,391,45,24,6,755,104
1113,1354,885,3765,816,1648,925,1323,900,1115,584,428,379,77,390,381,680,1250,670,694,2047,802,1298,966,70,17,1289,376
529,472,476,1306,394,379,514,1084,827,478,153,208,145,10,77,163,386,695,408,571,1242,584,959,234,33,4,513,258
1011,293,1450,858,540,479,754,3122,1627,1290,438,182,78,69,213,343,1072,979,1060,1495,1173,1799,1386,213,95,8,2317,157
445,137,588,919,659,216,778,1603,1002,2967,55,284,239,12,45,165,449,914,489,1014,191,967,1304,75,51,4,1066,51
314,355,248,817,343,393,177,543,445,440,162,127,145,15,76,189,219,493,192,867,488,356,566,171,30,4,466,236
135,128,276,684,538,171,518,818,287,333,115,127,70,2,38,131,174,242,107,472,363,262,371,141,27,3,366,98
18061,10301,34999,64560,8564,11486,10819,38012,12392,23983,5756,6233,4866,558,4906,6259,19701,13665,7787,18760,14710,16426,23757,12843,2459,627,21131,4441
