"NS.01.FFPE","NS.02.FFPE","NS.03.FFPE","NS.04.FFPE","NS.05.FFPE","NS.06.FFPE","NS.07.FFPE","NS.08.FFPE","NS.09.FFPE","NS.10.FFPE","NS.11.FFPE","NS.12.FFPE","NS.13.FFPE","NS.14.FFPE","NS.15.FFPE","NS.16.FFPE","NS.17.FFPE","NS.18.FFPE","NS.19.FFPE","NS.20.FFPE","NS.21.FFPE","NS.22.FFPE","NS.23.FFPE","NS.24.FFPE","NS.27.FFPE","NS.28.FFPE","NS.29.FFPE","NS.30.FFPE"
72838,29693,34574,61050,27871,49470,17688,40951,45734,28550,28425,16362,15070,1646,15498,12717,34612,76945,28103,46376,96927,43450,41855,30159,5059,1580,62501,21516
5977,9525,4774,14929,6885,11807,3782,4198,4709,9308,1966,1751,2062,202,2173,1481,6044,7400,5510,7984,10709,10206,13131,6420,670,158,7234,3091
22577,34561,23844,73677,18560,34051,29481,24880,17685,53322,12940,7610,5065,1098,10452,9408,28321,35068,19107,44698,40453,39667,27820,24395,2114,522,27407,9513
23100,38624,29370,70228,22159,30126,19220,16932,33995,52536,9394,9491,9062,1358,6808,12324,27498,33918,20467,40785,25152,35504,50101,17242,3200,479,37134,11140
3456,9583,4833,13936,4214,6309,4468,5506,4032,5168,1495,1578,1048,125,1278,1083,3276,5646,4020,7893,5089,6835,6137,3691,323,104,4652,1550
17628,27169,33909,69919,20975,27702,29464,29382,18019,49506,12696,12920,5711,1272,8876,9922,20812,29725,26147,27533,27648,46469,31602,19490,2829,623,22696,9065
7372,13284,21407,20666,10035,11312,6455,17879,11344,18540,3759,5707,2170,296,3764,3765,6884,11339,13314,13384,11415,14847,16943,8743,978,172,11810,3273
