"NS.01.FFPE","NS.02.FFPE","NS.03.FFPE","NS.04.FFPE","NS.05.FFPE","NS.06.FFPE","NS.07.FFPE","NS.08.FFPE","NS.09.FFPE","NS.10.FFPE","NS.11.FFPE","NS.12.FFPE","NS.13.FFPE","NS.14.FFPE","NS.15.FFPE","NS.16.FFPE","NS.17.FFPE","NS.18.FFPE","NS.19.FFPE","NS.20.FFPE","NS.21.FFPE","NS.22.FFPE","NS.23.FFPE","NS.24.FFPE","NS.27.FFPE","NS.28.FFPE","NS.29.FFPE","NS.30.FFPE"
21572,17313,27779,13667,24878,19235,19857,20424,18288,16345,19917,28660,18832,20236,20373,31554,28895,29851,30964,28119,28982,24476,25095,26902,26863,33144,28704,26126
6969,5810,8503,4155,7722,6041,6358,6699,6104,5823,6534,8763,6375,6839,6710,9715,8879,9355,9789,9017,8836,7927,8111,8049,8878,10790,9119,7743
2083,1754,2458,1414,2251,1775,1866,1983,1903,1759,2056,2579,2029,2048,2119,2859,2523,2697,2967,2544,2507,2322,2356,2428,2717,3016,2675,2286
555,476,669,353,614,495,525,555,493,508,524,662,536,574,567,748,669,741,740,735,647,598,661,640,689,830,695,611
84,81,133,55,99,65,93,87,72,69,73,111,73,72,85,112,118,125,129,126,104,90,119,123,104,130,136,117
38,34,57,37,38,32,38,47,36,42,43,62,41,42,42,65,63,78,63,59,68,57,71,57,47,69,71,53
